,Fork,Watch,PullRequestReview,PullRequest,Create,Release,Issues,Push
0,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.288317503
1,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
2,-0.215894752,-0.420986456,-0.174328172,-0.268942026,0.328380451,-0.077361071,-0.160610233,1.290778783
3,-0.215894752,1.735300779,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
4,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,3.501513583
5,-0.215894752,1.735300779,5.541075487,0.830038196,-0.459200645,-0.077361071,-0.160610233,-0.288317503
6,-0.215894752,-0.420986456,8.398777316,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
7,-0.215894752,-0.420986456,1.254522743,0.830038196,-0.459200645,-0.077361071,-0.160610233,0.659140269
8,-0.215894752,3.891588014,1.254522743,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
9,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,0.659140269
10,-0.215894752,1.735300779,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
11,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
12,-0.215894752,-0.420986456,-0.174328172,4.126978862,-0.459200645,-0.077361071,-0.160610233,0.974959526
13,-0.215894752,3.891588014,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.60413676
14,-0.215894752,-0.420986456,-0.174328172,0.830038196,-0.459200645,-0.077361071,3.481910723,-0.288317503
15,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,0.027501754
16,-0.215894752,-0.420986456,-0.174328172,-0.268942026,-0.459200645,-0.077361071,-0.160610233,-0.288317503
